"[0.010326862335205078, 0.0007960796356201172]"
"[0.009813070297241211, 0.0006945133209228516]"
"[0.012393474578857422, 0.0008015632629394531]"
"[0.010556459426879883, 0.0007603168487548828]"
"[0.011733770370483398, 0.0011789798736572266]"
"[0.014078617095947266, 0.0011076927185058594]"
"[0.015379905700683594, 0.0019161701202392578]"
"[0.014644861221313477, 0.0010464191436767578]"
"[0.015179157257080078, 0.0010912418365478516]"
"[0.012074470520019531, 0.0015096664428710938]"
"[0.012499809265136719, 0.0010368824005126953]"
"[0.012412548065185547, 0.0010678768157958984]"
"[0.01908111572265625, 0.002274036407470703]"
"[0.011991500854492188, 0.0024127960205078125]"
"[0.012445449829101562, 0.0016603469848632812]"
"[0.011383056640625, 0.002559185028076172]"
"[0.012968778610229492, 0.002685070037841797]"
"[0.011008739471435547, 0.0009019374847412109]"
"[0.017783164978027344, 0.001338958740234375]"
"[0.015378952026367188, 0.0017271041870117188]"
"[0.010447502136230469, 0.000835418701171875]"
"[0.011348485946655273, 0.0009322166442871094]"
"[0.010345458984375, 0.0008537769317626953]"
"[0.011056661605834961, 0.0018434524536132812]"
"[0.011825799942016602, 0.0008723735809326172]"
"[0.011522293090820312, 0.0011780261993408203]"
"[0.011311769485473633, 0.0010018348693847656]"
"[0.012230157852172852, 0.0014753341674804688]"
"[0.010649681091308594, 0.0007486343383789062]"
"[0.012804746627807617, 0.0009603500366210938]"
"[0.010394096374511719, 0.0008041858673095703]"
"[0.010489940643310547, 0.0007021427154541016]"
"[0.010821104049682617, 0.0007345676422119141]"
"[0.011155366897583008, 0.0008385181427001953]"
"[0.011891841888427734, 0.000881195068359375]"
"[0.012151479721069336, 0.0010001659393310547]"
"[0.010293006896972656, 0.0007681846618652344]"
"[0.010916471481323242, 0.001016855239868164]"
"[0.012974977493286133, 0.003517627716064453]"
"[0.012914896011352539, 0.0008392333984375]"
"[0.010298013687133789, 0.0007684230804443359]"
"[0.010516166687011719, 0.0010762214660644531]"
"[0.010354757308959961, 0.0020313262939453125]"
"[0.01224207878112793, 0.0008521080017089844]"
"[0.010925054550170898, 0.0008263587951660156]"
"[0.010460615158081055, 0.0007579326629638672]"
"[0.010410547256469727, 0.0008459091186523438]"
"[0.01067209243774414, 0.0008673667907714844]"
"[0.010854005813598633, 0.0009655952453613281]"
